@RELATION apeic
@ATTRIBUTE hour_of_day {0, 1, 2, 3, 4, 5}
@ATTRIBUTE day_of_week {1, 2, 3, 4, 5, 6, 7}
@ATTRIBUTE stay_point {0, 1, 2, 3, 4, 5, 6, 7, 8, -1}
@ATTRIBUTE activity {STILL, TILTING, UNKNOWN, ON_FOOT, ON_BICYCLE, IN_VEHICLE}
@ATTRIBUTE application {tw.com.sstc.youbike, com.dropbox.android, com.android.mms, com.android.chrome, com.google.android.apps.maps, com.facebook.katana, tw.edu.ntu.ee.arbor.apeic, com.htc.usage, com.android.vending, com.tumblr, com.metago.astro, com.android.packageinstaller, com.google.android.apps.plus, com.google.android.googlequicksearchbox, com.android.htccontacts, com.android.systemui, android, com.google.android.keep, com.android.calculator2, com.google.android.gm, com.inventec.dreye.htc, com.google.android.calendar, com.htc.Weather, com.google.android.talk, com.android.phone, com.android.camera, com.htc.album, com.grooveshark.android.v1, com.thinkyeah.smartlockfree, jp.naver.line.android, com.facebook.pages.app, com.htc.android.worldclock, com.king.candycrushsaga, com.android.settings, com.htc.launcher, com.google.android.apps.blogger, com.android.providers.downloads.ui, com.thinkyeah.apphider, com.google.android.gms, com.csst.ecdict}
@data
0, 7, 4, UNKNOWN, com.android.chrome
0, 7, 4, TILTING, jp.naver.line.android
0, 7, 4, UNKNOWN, jp.naver.line.android
1, 7, 4, TILTING, jp.naver.line.android
1, 7, 4, TILTING, com.htc.launcher
1, 7, 4, UNKNOWN, jp.naver.line.android
1, 7, 4, TILTING, com.htc.launcher
2, 7, 4, STILL, com.htc.launcher
2, 7, 4, TILTING, jp.naver.line.android
2, 7, 4, TILTING, com.htc.launcher
2, 7, 4, STILL, jp.naver.line.android
3, 7, 4, STILL, com.facebook.katana
3, 7, 4, STILL, jp.naver.line.android
3, 7, 4, STILL, com.facebook.katana
3, 7, 4, UNKNOWN, jp.naver.line.android
3, 7, 4, UNKNOWN, com.facebook.pages.app
3, 7, 4, STILL, com.google.android.gm
3, 7, 4, STILL, com.htc.launcher
3, 7, 4, TILTING, com.htc.launcher
3, 7, 4, TILTING, com.facebook.katana
3, 7, 4, TILTING, com.htc.launcher
3, 7, 4, STILL, com.google.android.gm
3, 7, 4, TILTING, com.htc.launcher
3, 7, 4, UNKNOWN, com.king.candycrushsaga
3, 7, 4, UNKNOWN, com.htc.launcher
3, 7, 4, TILTING, com.htc.launcher
3, 7, 4, UNKNOWN, com.king.candycrushsaga
0, 7, 4, TILTING, com.htc.launcher
1, 7, 4, STILL, com.htc.launcher
1, 7, 4, TILTING, com.htc.launcher
1, 7, 4, TILTING, com.htc.launcher
1, 7, 4, STILL, com.htc.launcher
2, 7, 4, TILTING, com.htc.launcher
2, 7, 4, TILTING, com.facebook.katana
2, 7, 4, TILTING, com.htc.launcher
2, 7, 4, STILL, com.google.android.apps.plus
2, 7, 4, STILL, com.htc.launcher
3, 7, 4, TILTING, com.facebook.katana
3, 7, 4, TILTING, com.android.phone
3, 7, 4, TILTING, com.android.mms
3, 7, 4, TILTING, com.google.android.apps.plus
3, 7, 4, TILTING, com.thinkyeah.smartlockfree
3, 7, 4, STILL, com.android.settings
3, 7, 4, UNKNOWN, com.google.android.apps.maps
